learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.01000,0.100,20, 2056,10, 83.81, 32.60, 34.41, 33.48, 83.97, 32.90, 34.98, 33.91,2.90, 3.07,
0.01000,0.100,20, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.08, 4.37,
0.01000,0.100,20, 2056,20, 87.40,  0.23, 18.69,  0.46, 87.41,  0.25, 19.81,  0.49,4.07, 4.32,
0.01000,0.100,50,  512,10, 88.09,  5.01, 93.86,  9.51, 88.15,  5.44, 95.48, 10.29,9.79, 10.40,
0.01000,0.100,50,  512,15, 18.75, 98.67, 13.20, 23.29, 18.67, 98.89, 13.21, 23.31,10.28, 14.23,
0.01000,0.100,50,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.48, 2.79,
0.01000,0.100,50, 1024,10, 18.55, 98.54, 13.16, 23.22, 18.43, 98.34, 13.13, 23.16,10.21, 11.10,
0.01000,0.100,50, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.71, 1.82,
0.01000,0.100,50, 1024,20, 13.72, 99.92, 12.65, 22.45, 13.72, 99.88, 12.64, 22.45,10.14, 10.83,
0.01000,0.100,50, 2056,10, 83.81, 32.60, 34.41, 33.48, 83.97, 32.90, 34.98, 33.91,2.88, 3.08,
0.01000,0.100,50, 2056,15, 47.42, 87.94, 17.71, 29.48, 47.53, 88.47, 17.81, 29.65,8.35, 8.88,
0.01000,0.100,50, 2056,20, 71.02, 38.85, 18.54, 25.10, 70.98, 38.47, 18.40, 24.90,8.27, 8.83,
0.01000,0.001, 5,  512,10, 87.70,  8.73, 55.14, 15.07, 87.75,  9.12, 56.16, 15.70,1.07, 1.16,
0.01000,0.001, 5,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.07, 1.15,
0.01000,0.001, 5,  512,20, 87.56,  0.47,100.00,  0.93, 87.56,  0.49,100.00,  0.98,1.15, 1.25,
0.01000,0.001, 5, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.14, 1.24,
0.01000,0.001, 5, 1024,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,1.11, 1.21,
